EmployeeNumber,MonthlyIncome,IncomeBand,DailyRate,HourlyRate,MonthlyRate,PercentSalaryHike,StockOptionLevel
1787,4189,Medium Income,589,46,8800,14,2
1789,19328,High Income,734,46,14218,17,1
1790,8321,High Income,1383,90,25949,13,1
1792,2342,Low Income,429,99,11092,12,3
1794,4071,Medium Income,1239,89,12832,13,0
1797,5813,Medium Income,303,84,13492,18,0
1798,3143,Low Income,867,90,6076,19,1
1799,2044,Low Income,1181,82,5531,11,1
1800,13464,High Income,1253,65,7914,21,0
1801,7991,High Income,849,98,25166,15,0
1802,3377,Low Income,616,99,25605,17,1
1803,5538,Medium Income,1128,95,5696,18,2
1804,5762,Medium Income,1180,90,24442,14,1
1805,2592,Low Income,1336,100,7129,13,3
1807,5346,Medium Income,234,93,6208,17,1
1809,4213,Medium Income,370,58,4992,15,0
1812,4127,Medium Income,766,83,19188,18,1
1813,2438,Low Income,343,52,24978,13,0
1814,6870,High Income,447,85,15530,12,0
1815,10447,High Income,796,81,26458,13,1
1816,9667,High Income,1092,64,2739,14,0
1818,2148,Low Income,920,69,6889,11,0
1821,8926,High Income,261,66,10842,22,1
1822,6513,High Income,1194,52,9060,17,1
1823,6799,High Income,810,92,22128,21,2
1824,16291,High Income,350,52,22577,22,1
1826,2705,Low Income,185,91,9696,16,1
1827,10333,High Income,1001,92,19271,12,1
1829,4448,Medium Income,750,47,10748,12,1
1830,6854,High Income,431,68,15696,15,1
1833,9637,High Income,1125,68,8277,14,2
1834,3591,Low Income,1217,67,12719,25,1
1835,5405,Medium Income,723,77,4244,20,2
1836,4684,Medium Income,572,46,9125,13,0
1837,15787,High Income,1216,87,21624,14,0
1839,1514,Low Income,1431,33,8018,16,0
1842,2956,Low Income,359,89,21495,17,0
1844,2335,Low Income,350,56,3157,15,3
1845,5154,Medium Income,589,67,19665,22,2
1847,6962,High Income,430,73,19573,22,1
1849,5675,Medium Income,1422,92,19246,20,1
1850,2379,Low Income,1297,53,19826,14,0
1852,3812,Medium Income,574,40,7003,13,0
1853,4648,Medium Income,1318,79,26075,13,0
1854,2936,Low Income,355,38,6161,22,2
1856,2105,Low Income,207,64,5411,12,0
1857,8578,High Income,706,82,19989,14,1
1858,2706,Low Income,280,43,10494,15,1
1859,6384,Medium Income,726,93,21143,17,2
1860,3968,Medium Income,1142,81,13624,13,0
1862,9907,High Income,414,82,26186,12,0
1863,13225,High Income,1319,45,7739,12,1
1864,3540,Low Income,728,36,7018,21,1
1865,2804,Low Income,352,87,15434,11,0
1866,19392,High Income,823,81,22539,13,0
1867,19665,High Income,1224,91,13583,12,0
1868,2439,Low Income,459,73,14753,24,0
1869,7314,High Income,1254,64,14011,21,3
1870,4774,Medium Income,1131,77,23844,19,1
1871,3902,Medium Income,835,41,5141,14,3
1873,2662,Low Income,836,98,7975,20,1
1875,2856,Low Income,1172,78,3692,19,1
1876,1081,Low Income,945,89,16019,13,0
1878,2472,Low Income,391,75,26092,23,0
1880,5673,Medium Income,1266,63,6060,13,1
1881,4197,Medium Income,311,89,18624,11,1
1882,9713,High Income,1480,64,24444,13,3
1883,2062,Low Income,592,59,19384,14,0
1885,4284,Medium Income,783,78,13588,22,1
1886,4788,Medium Income,219,44,25388,11,0
1888,5906,Medium Income,556,93,23888,13,2
1890,3886,Medium Income,1213,94,4223,21,0
1892,16823,High Income,1137,98,18991,11,1
1893,2933,Low Income,482,90,14908,13,1
1898,6500,High Income,511,89,26997,14,0
1900,17174,High Income,117,58,2437,11,1
1903,5033,Medium Income,170,78,9364,15,1
1905,2307,Low Income,967,85,14460,23,1
1907,2587,Low Income,1162,97,10261,16,0
1908,5507,Medium Income,335,33,16822,16,2
1909,4393,Medium Income,337,54,26841,21,1
1911,13348,High Income,1396,83,14842,13,1
1912,6583,High Income,1079,86,20115,11,1
1915,8103,High Income,735,75,16495,12,0
1916,3978,Medium Income,471,62,16031,12,1
1918,2544,Low Income,1096,61,7102,18,1
1922,5399,Medium Income,1297,44,14511,12,0
1924,5487,Medium Income,217,43,10410,14,0
1927,6834,High Income,783,42,19255,12,1
1928,1091,Low Income,746,45,10642,17,0
1929,5736,Medium Income,1251,32,3987,19,1
1931,2226,Low Income,1354,41,6073,11,1
1932,5747,Medium Income,735,86,26496,15,0
1933,9854,High Income,1475,84,23352,11,0
1934,5467,Medium Income,1169,64,2125,18,1
1935,5380,Medium Income,1443,89,20328,16,1
1936,5151,Medium Income,867,87,12315,25,1
1937,2133,Low Income,1394,58,18115,16,1
1938,17875,High Income,605,72,11761,13,1
1939,2432,Low Income,238,47,15318,14,0
1940,4771,Medium Income,1206,71,14293,19,2
1941,19161,High Income,1064,42,13738,15,0
1943,5087,Medium Income,419,77,2900,12,2
1944,2863,Low Income,1337,58,19555,12,0
1945,5561,Medium Income,682,71,15975,16,1
1947,2144,Low Income,1103,49,2122,14,0
1948,3065,Low Income,976,48,3995,13,1
1949,2810,Low Income,1351,66,9238,22,0
1950,9888,High Income,937,32,6770,21,0
1951,8628,High Income,1239,39,22914,18,1
1952,2867,Low Income,157,95,20006,13,0
1954,5373,Medium Income,136,89,6225,12,1
1955,6667,High Income,1146,34,16542,18,1
1956,5003,Medium Income,1125,48,5771,21,0
1960,2367,Low Income,1404,32,18779,12,1
1961,2858,Low Income,1404,59,11473,14,0
1962,5204,Medium Income,1224,55,13586,11,0
1965,4105,Medium Income,954,44,5099,14,0
1966,9679,High Income,1373,56,10138,24,0
1967,5617,Medium Income,754,63,21075,11,0
1968,10448,High Income,1168,66,5843,13,0
1969,2897,Low Income,155,67,22474,11,2
1970,5968,Medium Income,1303,36,18079,20,3
1971,7510,High Income,574,30,16873,17,1
1972,2991,Low Income,1444,88,5224,11,1
1973,19636,High Income,189,71,25811,18,1
1974,1129,Low Income,1276,59,17536,11,3
1975,13341,High Income,119,77,25098,12,0
1976,4332,Medium Income,335,37,14811,12,0
1979,11031,High Income,697,40,26862,20,1
1980,4440,Medium Income,157,77,25198,19,0
1981,4617,Medium Income,771,45,14120,12,0
1982,2647,Low Income,571,78,13672,13,0
1985,6323,Medium Income,692,73,26849,11,1
1986,5677,Medium Income,444,92,4258,14,1
1987,2187,Low Income,309,82,19655,14,0
1989,3748,Medium Income,911,76,4077,13,0
1992,3977,Medium Income,977,57,7298,19,1
1993,8633,High Income,1180,84,13084,23,0
1994,2008,Low Income,1313,59,20439,12,3
1995,4440,Medium Income,1321,86,7636,15,2
1996,3067,Low Income,1154,54,6393,19,1
1997,5321,Medium Income,508,72,14284,11,1
1998,5410,Medium Income,557,35,11189,17,1
1999,2782,Low Income,642,76,21412,22,1
2000,11957,High Income,1162,98,17231,18,2
2003,2660,Low Income,1490,43,20232,11,1
2007,3375,Low Income,581,63,17624,12,0
2008,5098,Medium Income,1395,48,18698,19,0
2009,4878,Medium Income,501,95,21653,13,1
2010,2837,Low Income,267,49,15919,13,0
2012,2406,Low Income,543,83,4060,19,2
2013,2269,Low Income,234,68,18024,14,1
2014,4108,Medium Income,116,52,5340,13,0
2015,13206,High Income,201,99,3376,12,1
2016,10422,High Income,801,48,24032,19,2
2017,13744,High Income,161,42,15471,25,1
2018,4907,Medium Income,1382,85,13684,22,1
2019,3482,Low Income,585,40,19788,15,2
2020,2436,Low Income,1037,42,13422,12,0
2021,2380,Low Income,501,58,25479,11,0
2022,19431,High Income,105,87,15302,13,0
2023,1790,Low Income,638,33,26956,19,1
2024,7644,High Income,557,94,12695,19,2
2025,5131,Medium Income,688,97,9192,13,3
2026,6306,Medium Income,667,57,26236,21,1
2027,4787,Medium Income,1092,36,26124,14,3
2031,18880,High Income,300,56,17312,11,0
2032,2339,Low Income,310,72,3666,11,1
2034,13570,High Income,582,60,5640,23,1
2035,6712,High Income,704,95,8978,21,2
2036,5406,Medium Income,301,88,10436,24,1
2037,8938,High Income,930,57,12227,11,1
2038,2439,Low Income,529,78,11288,14,0
2040,8837,High Income,1146,31,16642,16,0
2041,5343,Medium Income,345,100,5982,11,1
2044,6728,High Income,878,94,14255,12,2
2045,6652,High Income,1120,100,14369,13,1
2046,4850,Medium Income,374,50,23333,15,0
2048,2809,Low Income,1322,52,2725,14,0
2049,5689,Medium Income,1199,80,24594,14,2
2051,2001,Low Income,1194,98,12549,14,3
2052,2977,Low Income,287,62,8952,12,1
2053,4025,Medium Income,1378,46,23679,13,1
2054,3785,Medium Income,468,73,8489,14,0
2055,10854,High Income,410,39,16586,13,1
2056,12031,High Income,722,60,8828,11,1
2057,9936,High Income,325,74,3787,19,0
2060,2966,Low Income,1167,30,21378,18,0
2061,2571,Low Income,884,41,12290,17,1
2062,9991,High Income,613,42,21457,15,1
2064,6142,Medium Income,155,87,5174,20,1
2065,5390,Medium Income,1023,63,13243,14,0
2068,4404,Medium Income,628,82,10228,12,0
